surface,undiacritized,category,note
مِن,من,حرف_جر,ibtidaa
إلى,الى,حرف_جر,intihaa
عَن,عن,حرف_جر,mujawaza
فِي,في,حرف_جر,dharfiyya
عَلى,على,حرف_جر,istiaalaa
لا,لا,حرف_نفي,nafy
لَم,لم,حرف_نفي,jazm
إنَّ,ان,حرف_توكيد,tawkid
